metric,value
account,U15286908
long_xop_market_value_usd,152677.8
short_basket_market_value_usd,152488.09819999998
long_initial_margin_usd_50pct,76338.9
short_initial_equity_usd_50pct,76244.04909999999
combined_initial_equity_needed_usd,152582.94909999997
long_maintenance_margin_usd_25pct,38169.45
short_maintenance_margin_usd_30pct,45746.42945999999
combined_maintenance_equity_needed_usd,83915.87946
short_sale_proceeds_held_usd,152488.09819999998
combined_collateral_if_counting_short_proceeds_usd,305071.0473
account_net_liquidation,233282.6
account_init_margin_req_now,32560.43
account_maint_margin_req_now,31835.91
account_available_funds,200237.99
account_excess_liquidity,201002.73
account_sma,189826.77
account_lookahead_available_funds,200237.99
account_lookahead_excess_liquidity,201002.73
max_baskets_by_available_funds,1
max_baskets_by_sma,1
max_baskets_by_excess_liquidity,2
max_baskets_by_lookahead_available_funds,1
max_baskets_by_lookahead_excess_liquidity,2
conservative_max_baskets,1
