action,ticker,quantity
BUY,XOP,990
SELL,TPL,11
SELL,PBF,95
SELL,DK,82
SELL,EXE,47
SELL,CNX,126
SELL,EQT,80
SELL,VLO,16
SELL,AR,117
SELL,DINO,57
SELL,PARR,71
SELL,MPC,15
SELL,RRC,106
SELL,VNOM,94
SELL,PR,213
SELL,PSX,22
SELL,EOG,30
SELL,MGY,152
SELL,OVV,72
SELL,XOM,28
SELL,MTDR,77
SELL,CRC,72
SELL,FANG,21
SELL,GPOR,22
SELL,DVN,91
SELL,CVX,22
SELL,COP,35
SELL,APA,111
SELL,OXY,73
SELL,CRGY,360
SELL,VG,317
SELL,CHRD,30
SELL,CLMT,94
SELL,MUR,106
SELL,SM,128
SELL,NOG,161
SELL,TALO,168
SELL,WKC,57
SELL,CRK,119
SELL,KOS,851
SELL,GPRE,104
SELL,BKV,58
SELL,CVI,47
SELL,DEC,85
SELL,NUAI,158
SELL,REX,18
SELL,SOC,177
SELL,EGY,147
SELL,VTS,43
SELL,GEVO,446
SELL,SD,41
SELL,CLNE,139
